open,close,low,high,vol00,sdate
32415,32220,32211,32415,15291.98,070430
32174,32290,32137,32333,30046.26,070501
32406,32497,32301,32530,15105.78,070502
32497,32567,32444,32610,14606.49,070503
33049,32746,32523,33058,10561.03,070504
32780,32816,32746,32816,25363.85,070507
32762,32694,32601,32762,21600.65,070508
32746,32797,32665,32842,20634.06,070509
32712,32220,32147,32712,15324.86,070510
32128,32342,32082,32387,13329.1,070511
32360,32307,32307,32548,13029.72,070514
32256,32273,32256,32505,25645.6,070515
32514,32637,32426,32674,34337.5,070516
32558,32514,32435,32558,15863.41,070517
32583,32646,32487,32694,7774.41,070518
32674,32722,32637,32753,15833.05,070521
32833,32703,32583,32842,12343.89,070522
32833,32816,32738,32961,19327.06,070523
32729,32694,32656,32896,21920.24,070524
32637,32674,32610,32780,11184.16,070525
32703,32694,32592,32746,17546.72,070529
32665,32703,32444,32703,35752.48,070530
32753,32771,32674,32833,15540.63,070531
32780,32807,32694,32852,40036.5,070601
32656,32746,32656,32807,19603.65,070604
32646,32665,32505,32703,18888.14,070605
32601,32360,32301,32601,35151.04,070606
32067,31879,31808,32301,36774.42,070607
31576,31989,31576,32040,22365.2,070608
31915,31997,31915,32156,14204.08,070611
31898,31764,31739,32033,23393.84,070612
32058,32023,31703,32058,24040.54,070613
32137,32109,31684,32174,19584.33,070614
32211,32183,32075,32256,13690.23,070615
32128,31997,31943,32147,11032.86,070618
32040,31997,31971,32109,18290.57,070619
32174,31594,31548,32174,21447.07,070620
31548,31684,31371,31684,17908.8,070621
31488,31203,31121,31566,35512.83,070622
31203,31149,31041,31461,23767.06,070625
31299,31308,31237,31523,13144.41,070626
31228,31566,31167,31566,58992.92,070627
31514,31594,31505,31712,19207.21,070628
31548,31505,31193,31637,19406.16,070629
31604,31684,31050,31852,14167.72,070702
31808,31739,31712,31808,7528.41,070703
31656,31729,31566,31781,36487.52,070705
31665,31799,31613,31799,10958.11,070706
31808,31703,31622,31825,14175.51,070709
31576,31434,31362,31684,21481.7,070710
31399,31540,31389,31629,19253.61,070711
31576,32128,31576,32147,9678.42,070712
32067,32049,31962,32156,20248.38,070713
32014,32082,32014,32119,15559.34,070716
31943,31989,31915,32058,16254.54,070717
31906,31898,31665,31906,25185.99,070718
31825,31729,31604,31852,14934.6,070719
31622,31434,31326,31675,23786.32,070720
31712,31675,31604,31870,21474.96,070723
31576,31353,31274,31712,31978.1,070724
31548,31336,31177,32109,23876.92,070725
31131,30694,30566,31177,38894.9,070726
30576,29963,29963,30881,38240.74,070727
30050,30336,29980,30345,33486.71,070730
30755,30005,29998,30782,30194.81,070731
29954,30212,29871,30336,44848.12,070801
30231,30471,30231,30604,26743.85,070802
30489,30050,30041,30613,45891.68,070803
30195,30642,30195,30773,38347.48,070806
30595,30782,30576,31041,19661.69,070807
30872,31140,30738,31140,27325.21,070808
30782,30407,30382,31014,24975.28,070809
30231,30247,29998,30444,26598.48,070810
30444,30336,30336,30658,23211.14,070813
30505,30086,30059,30514,15227.91,070814
30067,30015,29944,30462,22427.75,070815
29694,30024,29390,30086,38729.38,070816
30694,30094,29792,30694,20836.81,070817
30265,30239,30050,30364,17426.32,070820
30149,30317,30094,30382,17474.05,070821
30416,30471,30308,30514,30740.53,070822
30540,30668,30462,30728,67976.99,070823
30604,30853,30532,30853,52918.31,070824
30746,30642,30642,30825,8310.49,070827
30642,30327,30231,30658,16227.66,070828
30336,30549,30212,30642,14571.13,070829
30462,30549,30462,30728,12914.64,070830
30773,30694,30642,30926,12162.61,070831
30791,30960,30773,31068,10046.6,070904
30900,30900,30728,30952,9730.52,070905
30881,30997,30815,31102,23549.65,070906
30721,30668,30532,30960,25621.94,070907
30694,30694,30505,30807,11854.37,070910
30773,30926,30668,30979,9686.82,070911
30935,31058,30910,31177,13596.08,070912
31290,31131,31131,31353,9969.26,070913
31228,31041,30969,31228,12779.02,070914
30969,30944,30755,31050,30966.9,070917
30935,31496,30919,31505,26098.54,070918
31622,31622,31540,31825,18196.84,070919
31656,31585,31523,31790,11726.63,070920
31622,31629,31585,31694,15370.28,070921
31514,31566,31470,31637,15523.79,070924
31514,31461,31415,31613,20446.22,070925
31558,31637,31523,31758,8424.83,070926
31815,31764,31647,31815,9219.46,070927
31703,31540,31479,31771,11983.27,070928
31675,32023,31656,32023,93269.76,071001
32033,31843,31729,32100,24586.36,071002
31870,31971,31712,31971,13636.4,071003
31962,31934,31934,32156,11631.39,071004
32128,32342,32082,32342,20523.47,071005
32262,32119,32100,32307,8782.36,071008
32281,32387,32165,32387,5306.84,071009
32387,32444,32290,32444,16083.44,071010
32460,32165,32092,32470,46421.21,071011
32229,32342,32119,32342,16254.54,071012
32301,31997,31852,32470,24637.91,071015
31943,31758,31703,31971,34777.52,071016
32075,31781,31558,32075,27345.7,071017
31434,31790,31434,31997,14799.78,071018
31771,31407,31389,31808,18057.87,071019
31185,31407,31068,31407,22101.61,071022
31434,31771,31399,31771,24259.06,071023
31656,31540,31203,31665,36881.2,071024
31308,31729,31308,31781,23170.82,071025
31014,31834,31014,31888,10315.58,071026
31906,31971,31834,31997,9407.74,071029
31860,31934,31843,32014,13680.73,071030
31140,32128,31140,32211,18543.61,071031
32128,31684,31622,32192,27072.21,071101
31585,31594,31425,31781,27021.95,071102
31594,31576,31371,31879,29733.8,071105
31532,31748,31256,31748,14989.19,071106
32006,31023,31023,32006,23827.63,071107
30505,31228,30505,31326,40703.64,071108
30462,31149,30462,31540,36522.71,071109
30364,31228,30364,31604,26517.05,071112
31193,31637,31193,31748,36210.59,071113
31665,31764,31523,31906,28158.85,071114
31425,31566,31425,31898,27188.94,071115
31675,31712,31496,31790,23719.98,071116
31764,31532,31415,31764,19333.33,071119
31825,31594,31281,31825,43071.73,071120
31203,30891,30891,31434,25358.38,071121
30944,31389,30944,31479,14918.89,071123
31675,31149,31131,31675,23207.82,071126
31594,31548,30960,31852,23727.53,071127
32006,32301,31771,32453,20273.46,071128
31915,32497,31729,32505,61666.78,071129
